CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50119763,LA JUGUERIA,Brooklyn,5915,4 AVENUE,11220
50073262,BROADWAY PIZZA,Brooklyn,1142,BROADWAY,11221
50074365,YURA,Manhattan,1350,MADISON AVENUE,10128
50056456,BENTON,Queens,3739,CRESCENT ST,11101
50119000,LE DIZE,Manhattan,37,CANAL STREET,10002
41488055,GUACUCO,Brooklyn,44,IRVING AVENUE,11237
50088356,SAMA STREET,Brooklyn,988,MANHATTAN AVENUE,11222
50070437,& PIZZA,Manhattan,740,BROADWAY,10003
50047794,PARILLA LATINA,Bronx,5523,BROADWAY,10463
50075315,I LOVE NY PIZZA,Bronx,1739,EAST  172 STREET,10472
50000207,QUALITY ITALIAN STEAKHOUSE,Manhattan,57,WEST   57 STREET,10019
50115810,BUSAN SUSHI & SASHIMI,Queens,3255B,FRANCIS LEWIS BLVD,11358
50060786,MCDONALD'S,Manhattan,1188,6 AVENUE,10036
50121663,TAL BAGELS,Manhattan,2446,BROADWAY,10024
50110216,LIBERTY BAGELS,Queens,8210,ROOSEVELT AVE,11372
50116301,,Manhattan,601,LEXINGTON AVENUE,10022
50069856,GOLDEN THAI,Brooklyn,469,IRVING AVENUE,11237
41561855,MARCELLINO,Manhattan,178,MULBERRY STREET,10012
50123380,BATO COFFEE & WINE,Bronx,610,CRESCENT AVENUE,10458
